sceneID,title,description,sceneType,isEnding,isGameOver
1,"The Weight of Orders","Moscow, January 1943. Director Volkov slides a manila envelope across the lacquered table. Your mission is simple on paper: embed yourself in the Wehrmacht, locate the weapons project codenamed EISENFAUST, and destroy it before it fires on a Soviet city. He does not mention which city. You will not find that out for some time. Before departure, you are handed a choice of equipment.",item,0,0
2,"The Long Ride West","The train to Warsaw smells of coal smoke and wet wool. You sit in a third-class carriage dressed as a Wehrmacht corporal, papers identifying you as Hans Schmidt, 7th Infantry. Two seats ahead, a German NCO keeps glancing at you — his hand rests near his holster. He has been watching since Brest.",story,0,0
3,"First Blood","The NCO stands and moves toward the corridor between carriages. You follow. In the narrow space between rattling steel doors he turns. Papers, he says — but it is not a question. His eyes already say guilty. There is no talking your way out of this one.",combat,0,0
4,"Corporal Schmidt","You lean across the aisle with a tired smile. The NCO relaxes slightly — a man who initiates conversation is not a man with a guilty conscience. He asks where you trained. Your cover is memorised: Corporal Hans Schmidt, 7th Infantry, Potsdam, regimental number 473. Then he asks your regimental number. You have read it a hundred times. Think carefully.",puzzle,0,0
5,"The Warsaw Safe House","A contact meets you at Warsaw Central and leads you through frozen backstreets to an apartment above a butcher's shop. On the table: a Wehrmacht Hauptmann's greatcoat — officer rank, wool-lined, convincing — and a battered steel canteen filled with schnapps. You cannot carry both without drawing attention.",item,0,0
6,"Crossing Into the Reich","The border crossing at Brest-Litovsk is flooded with cold white light. Soldiers queue in both lanes: a fast-track for officers, a longer queue for enlisted men. The crossing officer works methodically, checking each face against each document. You weigh your options.",story,0,0
7,"The Crossing Officer","The crossing officer glances at your rank insignia and waves you to the desk. He is not suspicious — not yet. Field officers are supposed to know their commands. He asks, almost conversationally, for the name of the 14th Army's commanding general. It is a routine check. You know this. You were briefed on this. A framed photograph on the wall shows a general shaking hands with a crossing officer. Someone has scrawled the general's surname in pencil on the back of the frame — then scrambled the letters, as though thinking. The letters read: EUBH.",puzzle,0,0
8,"Queue Trouble","A Feldgendarmerie officer — military police — pulls you from the enlisted queue. Someone on the platform reported a soldier with a Slavic accent. He is not certain, but he is not letting you go. There is no way to talk through military police. There is only one exit from this conversation.",combat,0,0
9,"Supply Depot Brest","Inside the Reich now. A Wehrmacht supply depot sits unguarded for exactly eleven minutes while the quartermaster takes his evening meal. Two items are unsecured on the shelf nearest the door: a standard-issue combat knife with a cracked handle, and a field medical kit — bandages, morphine, antiseptic.",item,0,0
10,"Forward Command Post","The forward command post at Minsk is a converted schoolhouse, its children's drawings still tacked to the walls beneath military maps. Over dinner, you hear EISENFAUST spoken aloud for the first time — not as a codename in a briefing document, but by a frightened young lieutenant who stops himself mid-sentence. It fires in fourteen days, he says, then stares at his plate. Fourteen days. You need to move.",story,0,0
11,"The Frightened Lieutenant","You find Lieutenant Wegner alone in the records room, staring at a map he is not authorised to have. He will talk — but first he needs to know you are who you seem to be. He asks the codename for EISENFAUST's scheduled test firing. It was in the KGB intelligence packet you memorised in Moscow. One word. Wegner's notes are open on the desk. One word is written then violently scrambled — letters rearranged in what looks like a panic. ACGLDNSROHN is scrawled in the margin. He did not want anyone to read it at a glance.",puzzle,0,0
12,"Patience","You say nothing. Wegner finishes his dinner in silence and leaves. You lose the thread — but you keep your cover. Over the next three days you piece together enough: EISENFAUST is being transported by rail to a staging point near Smolensk. You need to move east, fast, without attracting attention. Two options present themselves.",story,0,0
13,"The Rail Yard at Minsk","The Minsk rail yard is vast, cold, and full of men who do not look at each other. A German soldier slumped behind a coal heap has not yet been found by anyone — the rigor in his hands suggests he has been there since yesterday. His webbing holds two items you can use: a Walther P38 pistol, loaded, and a folded Streckenausweis — a railway access permit granting unrestricted movement along Wehrmacht rail lines.",item,0,0
14,"Roadblock","Three kilometres east of Minsk, a field checkpoint blocks the road. Two soldiers wave you down with red-tipped batons. Your vehicle papers do not match the registered route. You watch their hands. One reaches for his radio. You cannot let him finish that call.",combat,0,0
15,"The Signals Post","An abandoned Wehrmacht signals post sits at the edge of a frozen field — the operator fled an air raid and did not return. The radio is still warm, cycling through a repeating encoded message. Your KGB training covers standard Wehrmacht cipher systems. The message contains EISENFAUST's position reference: Grid 7-November-4. What sector does this correspond to on the Wehrmacht Eastern Front map? A Wehrmacht map is pinned above the radio. Grid squares are labelled by letter-number pairs. The November column runs north to south. Square 4 in that column sits east of a city whose name you recognise immediately.",puzzle,0,0
16,"The Suspicious Major","Major Dieter Kraus has been watching you for two days. He corners you in the officers' mess when the room is nearly empty. You don't eat like a German, he says quietly. You hold your fork wrong. His hand is already moving toward his sidearm. There is nothing left to say.",combat,0,0
17,"The Rail Line East","You travel east in a supply wagon, hidden under canvas and equipment crates. Through a gap in the tarpaulin you see it for the first time — or rather its outline, enormous beneath camouflage netting on a flatbed car fifty metres long. EISENFAUST. Real. Vast. Obscene. The train slows as it approaches a junction near the Smolensk staging area.",story,0,0
18,"The Forest Cache","Half a kilometre into the pine forest you find the remnants of a Soviet partisan camp — abandoned weeks ago, possibly after a German sweep. Two items remain behind: a sheepskin coat, heavy and warm, and a bundle of military-grade explosive charges, Wehrmacht-issue, likely taken from a German arms cache before the camp was overrun.",item,0,0
19,"Night Patrol","The wagon stops at a depot checkpoint. A soldier climbs in with a torch to inspect the cargo. He finds you before you find a way out. There is no room to manoeuvre, nowhere to run — just you, him, and the crates of Wehrmacht rations between you.",combat,0,0
20,"The Locked Safe","Inside the staging area administration hut, a steel wall-safe sits open on one side of the dial — someone interrupted mid-combination. A photograph on the desk shows the duty officer in dress uniform at a ceremony. The date stamp in the corner reads 1918. KGB records noted that Wehrmacht officers of this generation habitually used their service entry year as personal lock combinations.",puzzle,0,0
21,"Everything You Were Not Told","The documents from the safe confirm the target, the timeline, the range. EISENFAUST can reach Stalinets in eleven days. And then you find a personnel file at the bottom of the folder. Your personnel file. [playerName] is written at the top in Volkov's handwriting. Director Volkov did not choose you for your skill. He chose you because you are expendable — and because your connection to Stalinets gives Moscow someone to blame if the mission fails. You are the ghost. You are the pawn. You have eleven days.",story,0,0
22,"The Outer Perimeter","The EISENFAUST site is ringed by a double perimeter. The outer guard post has two soldiers on a rotating watch — they overlap for thirty seconds every hour. You time it. You are off by four seconds. They see you before you clear the wire.",combat,0,0
23,"The Security Panel","The inner perimeter is controlled by an electrical panel — a three-digit access code, changed weekly. A maintenance log wedged behind the panel shows three service entries by K.W. — Klaus Werner, the site engineer. His staff number is stamped at the top: 78. Below it, a note in his own handwriting: Code = staff number x inspection cycles. The cycle counter beside the panel reads 4.",puzzle,0,0
24,"Inside the Wire","Inside the inner perimeter, before you reach the cannon itself, two things are accessible. An equipment locker holds a detonator assembly — the kind used for controlled demolitions, compatible with standard explosive charges. On the workbench beside it: a Wehrmacht officer's identity disc with full site clearance stamped on the reverse.",item,0,0
25,"The Scientist","Dr Friedrich Haas does not look like a man who built a weapon. He is sixty, slight, with ink-stained fingers and the posture of a man who has been apologising for years. He sits beside EISENFAUST's barrel as though guarding it — or mourning it. A guard near the command car has noticed you are out of position. You have seconds to decide.",story,0,0
26,"The SS Guard","The guard near the command car is not Wehrmacht — he is SS. Hauptsturmführer Voss. He moves like someone who has done this before. He has your arm before you clear your weapon. This is the hardest fight of your life and you know it in the first second.",combat,0,0
27,"What Haas Knows","Haas looks at you without surprise, as though he has been expecting someone to come. He speaks in accented Russian — careful, quiet. You are not German, he says. And you have not come to admire it. He asks you one question: the maximum operational range of EISENFAUST in kilometres, fully loaded. He already knows. He wants to know if you do. On the wall beside Haas is a chalk diagram — an arc drawn from a point near Smolensk, curving east. At the arc's tip, a number. 380. Below it, one word: Stalinets.",puzzle,0,0
28,"Two Pawns","Haas tells you everything. They took his daughter in 1941 — build the cannon or lose her. He built it. She was gone by last month regardless. He found out three weeks ago. He has been sitting beside this machine ever since, unable to walk away, unable to act. He looks at EISENFAUST for a long time. I cannot leave, he says. But I can help you destroy it. That is the only thing I have left to give.",story,0,0
29,"The Returning Patrol","Moving with Haas toward the magazine car, a patrol of four soldiers returns early from rotation — someone changed the schedule. They see you both. Haas grabs one man by the collar — buying you a second, maybe two. It is almost enough.",combat,0,0
30,"Setting the Charges","The charges must be placed at three structural points along EISENFAUST's barrel and magazine assembly. The detonator requires an arming code — four digits, derived from the cannon's own serial number etched into the barrel plate: E-1943-7. Haas, if present, nods toward it. The answer has been in front of you since you arrived.",puzzle,0,0
31,"The Way Out","The charges are set. You have four minutes. The site has two exits: a maintenance tunnel running north under the perimeter fence — narrow, lightless, unmapped — or the main rail line heading west, open ground, exposed, but fast. Haas does not move. He has made his choice. You make yours.",story,0,0
32,"The Last Second","The detonator clicks. You run. Behind you, EISENFAUST tears itself apart — not dramatically, not the way it looks in the newsreels — but precisely, each charge doing its exact work in sequence. The barrel splits along the rifling. The magazine detonates inward. A column of fire rises above the pine forest, visible for forty kilometres. Somewhere, a city called Stalinets continues to exist. Your mother continues to exist. Your brother continues to exist. They will never know why. [playerName]. You ran.",story,0,0
33,"Ghost","The rail line carries you west through the darkness at forty kilometres an hour, lying flat between the tracks as the site burns behind you. Three hours later you are across the perimeter. Six hours after that, a Soviet contact extracts you from a barn outside Smolensk. A week later you are in Moscow. Volkov does not meet you at the door — he sends a junior officer with an envelope and no explanation. Inside: a commendation with your name on it. Your real name, [playerName]. They will classify it immediately. No one will ever read it. You light a cigarette and think about your mother, who does not know she is alive because of you. You decide that is enough.",story,1,0
34,"The Tunnel","The maintenance tunnel is narrower than the map suggested and longer. You are three hundred metres in when the explosion hits — the shockwave moves through the earth like something alive and the tunnel shudders and then collapses behind you. Not ahead. Behind. You keep moving. The exit is blocked by a section of fallen pine. You try it three times. It does not move. They will find you here in the spring, when the ground thaws — a Soviet soldier in a Wehrmacht uniform, with no papers that make sense. No one will know what you did, [playerName]. But the city is alive. Your family is alive. In the end, that was always the mission.",story,1,0
35,"Protocol Phantom Fails","The cannon fires at 04:00 on a Tuesday. You are not there to stop it. The shell travels three hundred and eighty kilometres in just under four minutes. The city of Stalinets ceases to exist as a functioning place in approximately eleven seconds. You learn about it three days later from a German radio bulletin celebrating a precision strike. You do not know yet whether your mother and brother were home. You will spend the rest of your life not knowing. Director Volkov's report to Moscow will note that the asset [playerName] failed the mission. The report will not mention that he sent you knowing the odds. It never does.",story,1,1
101,"Cover Blown — Border","Your cover does not hold. Whether it was the wrong answer, the wrong posture, or simply bad luck, the result is the same: custody. Your mission ends here, kilometres from the Reich, before it has truly begun.",story,0,1
102,"Taken at the Crossing","The crossing officer signals two soldiers with a slight nod. They are professional and quiet about it. You are processed and transported east within the hour. The mission dies at the border.",story,0,1
103,"Lost in the Field","The operation stalls. Whether through combat or compromise, your position is exposed and your cover is gone. Without cover, there is no mission.",story,0,1
104,"The Major Was Right","Major Kraus was right about you from the start. He simply needed one more piece of evidence. Now he has it.",story,0,1
105,"The Depot","The depot was supposed to be a minor obstacle. Instead it becomes the end of the road.",story,0,1
106,"The Perimeter","You do not make it through the wire. EISENFAUST sits two hundred metres away, unreachable.",story,0,1
107,"The Last Fight","You came further than anyone expected. It was not far enough.",story,0,1
108,"The Charges","The charges are set wrong, or not at all. EISENFAUST is intact. The mission has failed.",story,1,1
